"2026-06-05 06:43:28",ivanov.ivan@gmail.com,Успешно
"2026-06-05 06:43:30",morozov.morozov@gmail.com,Успешно
"2026-06-05 06:43:31",sidorov.sidor@outlook.com,Успешно
"2026-06-05 06:43:32","sokolov.sokol@aol.com sokolov.sokol@aol.com","Не успешно"
"2026-06-05 06:43:35","+7 989 012-34-56)","Не успешно"
"2026-06-05 06:44:13","Никифоров+ Никифор+ Никифорович","Не успешно"
"2026-06-05 07:12:52",sidorov.sidor@outlook.com,Успешно
"2026-06-05 07:14:05",sidorov.sidor@outlook.com,Успешно
"2026-06-05 07:14:07",morozov.morozov@gmail.com,Успешно
"2026-06-05 07:14:29","kuznetsov.kuzma@protonmail.com kuznetsov.kuzma@protonmail.com","Не успешно"
"2026-06-05 07:15:54","stepanov.stepan@aol.com stepanov.stepan@aol.com","Не успешно"
"2026-06-05 07:16:29",ivanov.ivan@gmail.com@example.com,"Не успешно"
"2026-06-05 07:16:43",kuznetsov.kuzma@protonmail.com,Успешно
"2026-06-05 08:17:52",morozov.morozov@gmail.com,Успешно
"2026-06-05 08:18:11",petrov.petr@yahoo.com,Успешно
"2026-06-05 08:18:23",sidorov.sidor@outlook.com;sidorov.sidor@outlook.com,"Не успешно"
"2026-06-05 08:18:35","kuznetsov.kuzma@protonmail.com kuznetsov.kuzma@protonmail.com","Не успешно"
"2026-06-05 08:18:52","lebedev.lebed@outlook.com lebedev.lebed@outlook.com","Не успешно"
"2026-06-05 08:19:25","ebedev.lebed@outlook.com lebedev.lebed@outlook.com","Не успешно"
"2026-06-05 08:38:47","nikiforov.nikifor@protonmail.com nikiforov.nikifor@protonmail.com","Не успешно"
"2026-06-05 08:51:16",lebedev.lebed@outlook.com,Успешно
"2026-06-05 09:18:42","Соколов Сокол Соколович",Успешно
